ac_no,ac_name,winner_party,winner_alliance,runner_up_party,runner_up_alliance,winner_votes,runner_up_votes,total_valid_votes,is_real_result
83,Yercaud,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,100562,83168,183730,1
84,Omalur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,89169,69213,158382,1
85,Mettur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,72751,66469,139220,1
86,Edappadi,AIADMK,AIADMK_NDA,PMK,AIADMK_NDA,98703,56681,155384,1
87,Sankari,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,96202,58828,155030,1
88,Salem West,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,80755,73508,154263,1
89,Salem North,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,86583,76710,163293,1
90,Salem South,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,101696,71243,172939,1
91,Veerapandi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,94792,80311,175103,1
92,Rasipuram,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,86901,77270,164171,1
93,Senthamangalam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,91339,79006,170345,1
94,Namakkal,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,89076,75542,164618,1
95,Paramathi-Velur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,74418,73600,148018,1
96,Tiruchengodu,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,73103,69713,142816,1
97,Kumarapalayam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,103032,55703,158735,1
98,Erode East,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,64879,57085,121964,1
99,Erode West,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,82297,77391,159688,1
100,Modakkurichi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,77067,74845,151912,1
101,Dharapuram,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,83538,73521,157059,1
102,Kangayam,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,83325,70190,153515,1
103,Perundurai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,80292,67521,147813,1
104,Bhavani,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,85748,60861,146609,1
105,Anthiyur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,71575,66263,137838,1
106,Gobichettipalayam,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,96177,84954,181131,1
107,Bhavanisagar,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,83006,69902,152908,1
108,Udhagamandalam,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,67747,57329,125076,1
109,Gudalur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,62128,48749,110877,1
110,Coonoor,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,61650,57940,119590,1
111,Mettuppalayam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,93595,77481,171076,1
112,Avanashi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,93366,62692,156058,1
113,Tiruppur North,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,106717,68943,175660,1
114,Tiruppur South,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,73351,57418,130769,1
115,Palladam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,111866,79692,191558,1
116,Sulur,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,100977,64346,165323,1
117,Kavundampalayam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,110870,102845,213715,1
118,Coimbatore North,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,77540,69816,147356,1
119,Thondamuthur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,109519,45478,154997,1
120,Coimbatore South,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,59788,42369,102157,1
121,Singanallur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,75459,70279,145738,1
122,Kinathukadavu,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,89042,87710,176752,1
123,Pollachi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,78553,65185,143738,1
124,Valparai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,69980,61736,131716,1
125,Udumalaipettai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,81817,76130,157947,1
126,Madathukulam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,76619,74952,151571,1
127,Palani,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,100045,74459,174504,1
128,Oddanchatram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,121715,55988,177703,1
129,Athoor,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,121738,94591,216329,1
130,Nilakkottai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,85507,70731,156238,1
131,Natham,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,93822,91712,185534,1
132,Dindigul,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,91413,70694,162107,1
133,Vedasandur,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,97555,77617,175172,1
134,Aravakurichi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
135,Karur,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,81936,81495,163431,1
136,Krishnarayapuram,AIADMK,AIADMK_NDA,IND,OTHERS,83977,48676,132653,1
137,Kulithalai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,89923,78027,167950,1
138,Manapparai,AIADMK,AIADMK_NDA,IUML,OTHERS,91399,73122,164521,1
139,Srirangam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,108400,93991,202391,1
140,Tiruchirappalli West,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,92049,63634,155683,1
141,Tiruchirappalli East,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,79938,58044,137982,1
142,Thiruverumbur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,85950,69255,155205,1
143,Lalgudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,77946,74109,152055,1
144,Manachanallur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,83083,75561,158644,1
145,Musiri,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,89398,57311,146709,1
146,Thuraiyur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,81444,73376,154820,1
147,Perambalur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,101073,94220,195293,1
148,Kunnam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,78218,59422,137640,1
149,Ariyalur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,88523,86480,175003,1
150,Jayankondam,AIADMK,AIADMK_NDA,PMK,AIADMK_NDA,75672,52738,128410,1
151,Tittakudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,65139,62927,128066,1
152,Vriddhachalam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,72611,58834,131445,1
153,Neyveli,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,54299,36508,90807,1
154,Panruti,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,72353,69225,141578,1
155,Cuddalore,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,70922,46509,117431,1
156,Kurinjipadi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,82864,54756,137620,1
157,Bhuvanagiri,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,60554,55066,115620,1
158,Chidambaram,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,58543,57037,115580,1
159,Kattumannarkoil,AIADMK,AIADMK_NDA,VCK,DMK_ALLIANCE,48450,48363,96813,1
160,Sirkazhi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,76487,67484,143971,1
161,Mayiladuthurai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,70949,66171,137120,1
162,Poompuhar,AIADMK,AIADMK_NDA,IUML,OTHERS,87666,67731,155397,1
163,Nagapattinam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,64903,44353,109256,1
164,Kilvelur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,61999,51829,113828,1
165,Vedaranyam,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,60836,37838,98674,1
166,Thiruthuraipoondi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,72127,58877,131004,1
167,Mannargudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,91137,81200,172337,1
168,Thiruvarur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,121473,53107,174580,1
169,Nannilam,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,100918,79642,180560,1
170,Thiruvidaimarudur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,77538,77006,154544,1
171,Kumbakonam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,85048,76591,161639,1
172,Papanasam,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,82614,58249,140863,1
173,Thiruvaiyaru,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,100043,85700,185743,1
174,Thanjavur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
175,Orathanadu,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,84378,80733,165111,1
176,Pattukkottai,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,70631,58273,128904,1
177,Peravurani,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,73908,72913,146821,1
178,Gandharvakottai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,64043,60996,125039,1
179,Viralimalai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,84701,76254,160955,1
180,Pudukkottai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,66739,64655,131394,1
181,Thirumayam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,72373,71607,143980,1
182,Alangudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,72992,63051,136043,1
183,Aranthangi,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,69905,67614,137519,1
184,Karaikudi,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,93419,75136,168555,1
185,Tiruppattur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,110719,68715,179434,1
186,Sivaganga,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,81697,75061,156758,1
187,Manamadurai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,89893,75004,164897,1
188,Melur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,88909,69186,158095,1
189,Madurai East,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,108569,75797,184366,1
190,Sholavandan,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,87044,62187,149231,1
191,Madurai North,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,70460,51621,122081,1
192,Madurai South,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,62683,38920,101603,1
193,Madurai Central,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,64662,58900,123562,1
194,Madurai West,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,82529,66131,148660,1
195,Thiruparankundram,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,93453,70461,163914,1
196,Thirumangalam,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,95864,72274,168138,1
197,Usilampatti,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,106349,73443,179792,1
198,Andipatti,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,103129,72933,176062,1
199,Periyakulam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,90599,76249,166848,1
200,Bodinayakanur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,99531,83923,183454,1
