ac_no,ac_name,district,region_5way,reservation,is_reserved
145,Musiri,Tiruchirappalli,Central,GEN,0
146,Thuraiyur,Tiruchirappalli,Central,SC,1
147,Perambalur,Perambalur,Central,SC,1
148,Kunnam,Perambalur,Central,GEN,0
149,Ariyalur,Ariyalur,Central,GEN,0
150,Jayankondam,Ariyalur,Central,GEN,0
151,Tittakudi,Cuddalore,Central,SC,1
152,Vriddhachalam,Cuddalore,Central,GEN,0
153,Neyveli,Cuddalore,Central,GEN,0
154,Panruti,Cuddalore,Central,GEN,0
155,Cuddalore,Cuddalore,Central,GEN,0
156,Kurinjipadi,Cuddalore,Central,GEN,0
157,Bhuvanagiri,Cuddalore,Central,GEN,0
158,Chidambaram,Cuddalore,Central,GEN,0
159,Kattumannarkoil,Cuddalore,Central,SC,1
160,Sirkazhi,Mayiladuthurai,Central,SC,1
161,Mayiladuthurai,Mayiladuthurai,Central,GEN,0
162,Poompuhar,Mayiladuthurai,Central,GEN,0
163,Nagapattinam,Nagapattinam,Central,GEN,0
164,Kilvelur,Nagapattinam,Central,SC,1
165,Vedaranyam,Nagapattinam,Central,GEN,0
166,Thiruthuraipoondi,Thiruvarur,Central,SC,1
167,Mannargudi,Thiruvarur,Central,GEN,0
168,Thiruvarur,Thiruvarur,Central,GEN,0
169,Nannilam,Thiruvarur,Central,GEN,0
170,Thiruvidaimarudur,Thanjavur,Central,SC,1
171,Kumbakonam,Thanjavur,Central,GEN,0
172,Papanasam,Thanjavur,Central,GEN,0
173,Thiruvaiyaru,Thanjavur,Central,GEN,0
174,Thanjavur,Thanjavur,Central,GEN,0
175,Orathanadu,Thanjavur,Central,GEN,0
176,Pattukkottai,Thanjavur,Central,GEN,0
177,Peravurani,Thanjavur,Central,GEN,0
178,Gandharvakottai,Pudukkottai,Central,SC,1
179,Viralimalai,Pudukkottai,Central,GEN,0
180,Pudukkottai,Pudukkottai,Central,GEN,0
181,Thirumayam,Pudukkottai,Central,GEN,0
182,Alangudi,Pudukkottai,Central,GEN,0
183,Aranthangi,Pudukkottai,Central,GEN,0
184,Karaikudi,Sivaganga,South,GEN,0
185,Tiruppattur,Sivaganga,South,GEN,0
186,Sivaganga,Sivaganga,South,GEN,0
187,Manamadurai,Sivaganga,South,SC,1
188,Melur,Madurai,South,GEN,0
189,Madurai East,Madurai,South,GEN,0
190,Sholavandan,Madurai,South,SC,1
191,Madurai North,Madurai,South,GEN,0
192,Madurai South,Madurai,South,GEN,0
193,Madurai Central,Madurai,South,GEN,0
194,Madurai West,Madurai,South,GEN,0
195,Thiruparankundram,Madurai,South,GEN,0
196,Thirumangalam,Madurai,South,GEN,0
197,Usilampatti,Madurai,South,GEN,0
198,Andipatti,Theni,South,GEN,0
199,Periyakulam,Theni,South,SC,1
