ac_no,ac_name,district,region,reservation,urban_rural_type,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021,dmk_alliance_vote_share_2024,aiadmk_alliance_vote_share_2024,bjp_nda_vote_share_2024,ntk_vote_share_2024,others_vote_share_2024,winning_alliance_2024,contesting_alliance_2026,dmk_alliance_candidate_2026,aiadmk_nda_candidate_2026,tvk_candidate_2026,ntk_candidate_2026,bjp_candidate_2026_if_separate,incumbent_party,incumbent_candidate,incumbent_contesting_again,alliance_change_flag,rebel_candidate_flag,strong_local_candidate_flag
26,Velachery,Chennai,Chennai_Metro,GEN,needs_source,JMH.AASSAN MAULAANA,INC,M.K.ASHOK,AIADMK,68493,64141,4352,2.46,56.18,0.0,36.2965,0.0,38.7592,8.0192,16.9251,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
27,Sholinganallur,Chengalpattu,Chennai_Metro,GEN,needs_source,S.ARAVINDRAMESH,DMK,K.P.KANDAN,AIADMK,171558,136153,35405,9.12,55.51,44.1756,35.0589,0.0,0.0,10.0094,10.7561,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
28,Alandur,Kancheepuram,Chennai_Metro,GEN,needs_source,T.M.Anbarasan,DMK,B.Valarmathi,AIADMK,116785,76214,40571,17.06,60.82,49.1207,32.0562,0.0,0.0,6.9426,11.8805,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
29,Sriperumbudur,Kancheepuram,Chennai_Metro,SC,needs_source,SELVAPERUNTHAGAI,INC,PALANI,AIADMK,115353,104474,10879,4.12,73.94,0.0,39.5343,0.0,43.651,8.3379,8.4768,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
30,Pallavaram,Chengalpattu,Chennai_Metro,GEN,needs_source,KARUNANITHI,DMK,RAJENDRAN,AIADMK,126427,88646,37781,14.19,60.86,47.4943,33.3013,0.0,0.0,8.025,11.1794,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
31,Tambaram,Chengalpattu,Chennai_Metro,GEN,needs_source,Raja.S.R,DMK,Chinnaiyah.T.K.M,AIADMK,116840,80016,36824,14.79,59.55,46.9297,32.1391,0.0,0.0,7.8299,13.1013,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
32,Chengalpattu,Chengalpattu,Chennai_Metro,GEN,needs_source,VARALAKSHMI.M,DMK,GAJENDRAN.M,AIADMK,130573,103908,26665,9.73,63.54,47.6393,37.9106,0.0,0.0,9.8027,4.6474,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
33,Thiruporur,Chengalpattu,Chennai_Metro,GEN,needs_source,S.S.Balaji,VCK,Arumugam.K,PMK,93954,92007,1947,0.86,76.36,0.0,0.0,0.0,0.0,9.0099,90.9901,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
34,Cheyyur,Chengalpattu,Chennai_Metro,SC,needs_source,Babu M,VCK,Kanitha S,AIADMK,82750,78708,4042,2.26,77.88,0.0,43.9415,0.0,0.0,5.3891,50.6694,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
35,Madurantakam,Chengalpattu,Chennai_Metro,SC,needs_source,Maragatham. K,AIADMK,Sathya. C.E,DMK,86646,83076,3570,1.92,80.65,44.7025,46.6235,0.0,0.0,5.0005,3.6735,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
