ac_no,ac_name,district,region,reservation,urban_rural_type,total_voters,male_voters,female_voters,gender_gap,first_time_voters,winner_2016,winner_party_2016,runner_up_2016,runner_up_party_2016,winner_votes_2016,runner_up_votes_2016,margin_votes_2016,margin_pct_2016,turnout_pct_2016,dmk_vote_share_2016,aiadmk_vote_share_2016,bjp_vote_share_2016,congress_vote_share_2016,ntk_vote_share_2016,others_vote_share_2016,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021
25,Mylapore,Chennai,Chennai_Metro,GEN,needs_source,,,,,,NATARAJ.R IPS (RTD),AIADMK,KARATE THIAGARAJAN.R,INC,68176.0,53448.0,14728.0,9.43,59.37,0.0,43.6656,7.5065,34.2326,1.509,13.0863,VELU.DHA,DMK,NATARAJ.R,AIADMK,68392,55759,12633,8.23,56.6,44.5754,36.3417,0.0,0.0,6.5984,12.4845
26,Velachery,Chennai,Chennai_Metro,GEN,needs_source,,,,,,VAGAI CHANDERASEKAR,DMK,C MUNUSAMY,AIADMK,70139.0,61267.0,8872.0,5.05,58.33,39.9602,34.9056,8.2451,0.0,2.2852,14.6039,JMH.AASSAN MAULAANA,INC,M.K.ASHOK,AIADMK,68493,64141,4352,2.46,56.18,0.0,36.2965,0.0,38.7592,8.0192,16.9251
27,Sholinganallur,Chengalpattu,Chennai_Metro,GEN,needs_source,,,,,,ARAVIND RAMESH S,DMK,SUNDARAM N,AIADMK,147014.0,132101.0,14913.0,4.31,57.38,42.5268,38.2129,4.3145,0.0,3.1363,11.8095,S.ARAVINDRAMESH,DMK,K.P.KANDAN,AIADMK,171558,136153,35405,9.12,55.51,44.1756,35.0589,0.0,0.0,10.0094,10.7561
28,Alandur,Kancheepuram,Chennai_Metro,GEN,needs_source,,,,,,ANBARASAN T.M.,DMK,RAMACHANDRAN S.,AIADMK,96877.0,77708.0,19169.0,8.83,61.74,44.6444,35.8106,5.9015,0.0,1.8097,11.8338,T.M.Anbarasan,DMK,B.Valarmathi,AIADMK,116785,76214,40571,17.06,60.82,49.1207,32.0562,0.0,0.0,6.9426,11.8805
29,Sriperumbudur,Kancheepuram,Chennai_Metro,SC,needs_source,,,,,,PALANI.K,AIADMK,SELVAPERUNTHAGAI.K,INC,101001.0,90285.0,10716.0,4.54,77.1,0.0,42.7713,1.6681,38.2334,1.4572,15.87,SELVAPERUNTHAGAI,INC,PALANI,AIADMK,115353,104474,10879,4.12,73.94,0.0,39.5343,0.0,43.651,8.3379,8.4768
30,Pallavaram,Chengalpattu,Chennai_Metro,GEN,needs_source,,,,,,KARUNANITHI I,DMK,SARASWATHI C.R,AIADMK,112891.0,90726.0,22165.0,8.82,61.75,44.94,36.1165,4.6898,0.0,1.7866,12.4671,KARUNANITHI,DMK,RAJENDRAN,AIADMK,126427,88646,37781,14.19,60.86,47.4943,33.3013,0.0,0.0,8.025,11.1794
31,Tambaram,Chengalpattu,Chennai_Metro,GEN,needs_source,,,,,,RAJA S R,DMK,RAJENDRAN C,AIADMK,101835.0,87390.0,14445.0,6.14,61.71,43.2687,37.1311,4.3878,0.0,2.2251,12.9873,Raja.S.R,DMK,Chinnaiyah.T.K.M,AIADMK,116840,80016,36824,14.79,59.55,46.9297,32.1391,0.0,0.0,7.8299,13.1013
32,Chengalpattu,Chengalpattu,Chennai_Metro,GEN,needs_source,,,,,,VARALAKSHMI.M,DMK,KAMALAKKANNAN.R,AIADMK,112675.0,86383.0,26292.0,10.53,67.3,45.1108,34.5845,0.0,0.0,1.6155,18.6892,VARALAKSHMI.M,DMK,GAJENDRAN.M,AIADMK,130573,103908,26665,9.73,63.54,47.6393,37.9106,0.0,0.0,9.8027,4.6474
33,Thiruporur,Chengalpattu,Chennai_Metro,GEN,needs_source,,,,,,KOTHANDAPANI. M,AIADMK,VISWANATHAN. V,DMK,70215.0,69265.0,950.0,0.47,79.09,34.436,34.9083,1.2951,0.0,0.9128,28.4478,S.S.Balaji,VCK,Arumugam.K,PMK,93954,92007,1947,0.86,76.36,0.0,0.0,0.0,0.0,9.0099,90.9901
34,Cheyyur,Chengalpattu,Chennai_Metro,SC,needs_source,,,,,,ARASU R T,DMK,MUNUSAMY A,AIADMK,63446.0,63142.0,304.0,0.18,80.11,37.5123,37.3325,0.9218,0.0,0.5434,23.69,Babu M,VCK,Kanitha S,AIADMK,82750,78708,4042,2.26,77.88,0.0,43.9415,0.0,0.0,5.3891,50.6694
