year,ac_no,ac_name,district,winner,winner_party,runner_up,runner_party,winner_votes,runner_votes,margin_votes,winner_vote_share,runner_vote_share
2016,84,Omalur,Salem,VETRIVEL.S,AIADMK_NDA,AMMASI.S,DMK_ALLIANCE,89169,69213,19956,39.23,30.45
2016,85,Mettur,Salem,SEMMALAI.S,AIADMK_NDA,PARTHIBAN.S.R,DMK_ALLIANCE,72751,66469,6282,35.05,32.02
2016,86,Edappadi,Salem,PALANISWAMI. K,AIADMK_NDA,ANNADURAI. N,OTHERS,98703,56681,42022,43.74,25.12
2016,87,Sankari,Salem,RAJA.S,AIADMK_NDA,RAJESWARAN.T.K,DMK_ALLIANCE,96202,58828,37374,44.57,27.25
2016,88,Salem West,Salem,VENKATACHALAM.G,AIADMK_NDA,PANNEER SELVAM.C.,DMK_ALLIANCE,80755,73508,7247,39.88,36.3
2016,89,Salem North,Salem,RAJENDRAN.R,DMK_ALLIANCE,SARAVANAN.K.R.S,AIADMK_NDA,86583,76710,9873,45.14,39.99
2016,90,Salem South,Salem,SAKTHIVEL A B,AIADMK_NDA,GUNASEKARAN M,DMK_ALLIANCE,101696,71243,30453,51.39,36.0
2016,91,Veerapandi,Salem,MANONMANI.P,AIADMK_NDA,RAJENDRAN. A,DMK_ALLIANCE,94792,80311,14481,45.86,38.85
2016,92,Rasipuram,Namakkal,SAROJA V. DR,AIADMK_NDA,DURAISAMY V.P,DMK_ALLIANCE,86901,77270,9631,46.5,41.35
2016,93,Senthamangalam,Namakkal,CHANDRASEKARAN C,AIADMK_NDA,PONNUSAMY K,DMK_ALLIANCE,91339,79006,12333,48.09,41.6
2016,94,Namakkal,Namakkal,BASKAR. K.P.P,AIADMK_NDA,CHEZHIAN. R,DMK_ALLIANCE,89076,75542,13534,45.81,38.85
2016,95,Paramathi-Velur,Namakkal,MOORTHIY K S,DMK_ALLIANCE,RAJENDHIRAN R,AIADMK_NDA,74418,73600,818,42.45,41.98
2016,96,Tiruchengodu,Namakkal,SARASWATHI PON,AIADMK_NDA,ELANGOAVAN BAR,DMK_ALLIANCE,73103,69713,3390,41.4,39.48
2016,97,Kumarapalayam,Namakkal,THANGAMANI P,AIADMK_NDA,YUVARAJ P,DMK_ALLIANCE,103032,55703,47329,55.2,29.84
2016,98,Erode East,Erode,THENNARASU K S,AIADMK_NDA,CHANDHIRAKUMAR V C,DMK_ALLIANCE,64879,57085,7794,43.83,38.57
2016,99,Erode West,Erode,RAMALINGAM K.V.,AIADMK_NDA,MUTHUSAMY S,DMK_ALLIANCE,82297,77391,4906,43.46,40.87
2016,100,Modakkurichi,Erode,SIVASUBRAMANI V.P.,AIADMK_NDA,SACHIDANANDAM P.,DMK_ALLIANCE,77067,74845,2222,43.62,42.36
2016,101,Dharapuram,Tiruppur,KALIMUTHU. V.S,DMK_ALLIANCE,PONNUSAMY. K,AIADMK_NDA,83538,73521,10017,45.67,40.19
2016,102,Kangayam,Tiruppur,THANIYARASU U,AIADMK_NDA,GOPI P,DMK_ALLIANCE,83325,70190,13135,45.18,38.06
2016,103,Perundurai,Erode,VENKATACHALAM.N.D,AIADMK_NDA,SAMY.K.P (A) MOHANASUNDARAM.P,DMK_ALLIANCE,80292,67521,12771,44.05,37.05
