ac_no,ac_name,winner_party,winner_alliance,runner_up_party,runner_up_alliance,winner_votes,runner_up_votes,total_valid_votes,is_real_result
109,Gudalur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
110,Coonoor,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
111,Mettuppalayam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
112,Avanashi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
113,Tiruppur North,AIADMK,AIADMK_NDA,CPI,DMK_ALLIANCE,0,0,0,1
114,Tiruppur South,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
115,Palladam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
116,Sulur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
117,Kavundampalayam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
118,Coimbatore North,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
119,Thondamuthur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
120,Coimbatore South,BJP,AIADMK_NDA,MNM,OTHERS,0,0,0,1
121,Singanallur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
122,Kinathukadavu,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
123,Pollachi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
124,Valparai,AIADMK,AIADMK_NDA,CPI,DMK_ALLIANCE,0,0,0,1
125,Udumalaipettai,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,1
126,Madathukulam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
127,Palani,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
128,Oddanchatram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
129,Athoor,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
130,Nilakkottai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
131,Natham,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
132,Dindigul,AIADMK,AIADMK_NDA,CPI(M),DMK_ALLIANCE,0,0,0,1
133,Vedasandur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
134,Aravakurichi,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
135,Karur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
136,Krishnarayapuram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
137,Kulithalai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
138,Manapparai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
139,Srirangam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
140,Tiruchirappalli West,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
141,Tiruchirappalli East,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
142,Thiruverumbur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
143,Lalgudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
144,Manachanallur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
145,Musiri,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
146,Thuraiyur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
147,Perambalur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
148,Kunnam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
149,Ariyalur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
150,Jayankondam,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
151,Tittakudi,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
152,Vriddhachalam,INC,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
153,Neyveli,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
154,Panruti,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
155,Cuddalore,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
156,Kurinjipadi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
157,Bhuvanagiri,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
158,Chidambaram,AIADMK,AIADMK_NDA,IUML,DMK_ALLIANCE,0,0,0,1
159,Kattumannarkoil,VCK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
160,Sirkazhi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
161,Mayiladuthurai,INC,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
162,Poompuhar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
163,Nagapattinam,VCK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
164,Kilvelur,CPI(M),DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,1
165,Vedaranyam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
166,Thiruthuraipoondi,CPI,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
167,Mannargudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
168,Thiruvarur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
169,Nannilam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
170,Thiruvidaimarudur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
171,Kumbakonam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
172,Papanasam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
173,Thiruvaiyaru,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
174,Thanjavur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
175,Orathanadu,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
176,Pattukkottai,DMK,DMK_ALLIANCE,,,0,0,0,1
177,Peravurani,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
178,Gandharvakottai,CPI(M),DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
179,Viralimalai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
180,Pudukkottai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
181,Thirumayam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
182,Alangudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
183,Aranthangi,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
184,Karaikudi,INC,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
185,Tiruppattur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
186,Sivaganga,AIADMK,AIADMK_NDA,CPI,DMK_ALLIANCE,0,0,0,1
187,Manamadurai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
188,Melur,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,1
189,Madurai East,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
190,Sholavandan,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
191,Madurai North,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
192,Madurai South,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
193,Madurai Central,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
194,Madurai West,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
195,Thiruparankundram,AIADMK,AIADMK_NDA,CPI(M),DMK_ALLIANCE,0,0,0,1
196,Thirumangalam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
197,Usilampatti,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
198,Andipatti,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
199,Periyakulam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
200,Bodinayakanur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
201,Cumbum,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
202,Rajapalayam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
203,Srivilliputhur,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,1
204,Sattur,DMK,DMK_ALLIANCE,,,0,0,0,1
205,Sivakasi,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
206,Virudhunagar,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
207,Aruppukkottai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
208,Tiruchuli,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
209,Paramakudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
210,Tiruvadanai,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
211,Ramanathapuram,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
212,Mudhukulathur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
213,Vilathikulam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
214,Thoothukkudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
215,Tiruchendur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
216,Srivaikuntam,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
217,Ottapidaram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
218,Kovilpatti,AIADMK,AIADMK_NDA,AMMK,OTHERS,0,0,0,1
219,Sankarankovil,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
220,Vasudevanallur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
221,Kadayanallur,AIADMK,AIADMK_NDA,IUML,DMK_ALLIANCE,0,0,0,1
222,Tenkasi,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
223,Alangulam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
224,Tirunelveli,BJP,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
225,Ambasamudram,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
226,Palayamkottai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
227,Nanguneri,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
228,Radhapuram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
229,Kanniyakumari,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
230,Nagercoil,BJP,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,1
231,Colachal,INC,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
232,Padmanabhapuram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
233,Vilavancode,INC,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,1
234,Killiyoor,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,1
