ac_no,ac_name,district,region_5way,reservation,is_reserved,winner_party_2016,winner_alliance_2016,runner_up_party_2016,runner_up_alliance_2016,winner_party_2021,winner_alliance_2021,runner_up_party_2021,runner_up_alliance_2021,winner_votes_2021,runner_up_votes_2021,total_valid_votes_2021,margin_pct_2021,vote_share_2021,proj_2026_dmk_alliance_pct,proj_2026_aiadmk_nda_pct,proj_2026_tvk_pct,proj_2026_ntk_pct,proj_2026_others_pct,proj_2026_winner,proj_2026_margin_pct
46,Gudiyattam,Vellore,North,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.459665,0.344797,0.092357,0.052695,0.050486,DMK_ALLIANCE,0.114868
47,Vaniyambadi,Tirupattur,North,GEN,0,AIADMK,AIADMK_NDA,IUML,OTHERS,AIADMK,AIADMK_NDA,IUML,DMK_ALLIANCE,0,0,0,0.0,0.0,0.35526,0.444444,0.098023,0.059617,0.042656,AIADMK_NDA,0.089184
48,Ambur,Tirupattur,North,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.449268,0.380378,0.088962,0.018309,0.063084,DMK_ALLIANCE,0.06889
49,Jolarpet,Tirupattur,North,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.464945,0.366898,0.07728,0.038739,0.052137,DMK_ALLIANCE,0.098047
50,Tirupattur,Tirupattur,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,IND,AIADMK_NDA,0,0,0,0.0,0.0,0.432732,0.368584,0.090056,0.055136,0.053492,DMK_ALLIANCE,0.064148
51,Uthangarai,Krishnagiri,North,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,0.0,0.0,0.387858,0.440639,0.101112,0.036932,0.033459,AIADMK_NDA,0.052781
52,Bargur,Krishnagiri,North,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.470197,0.361092,0.094464,0.060044,0.014203,DMK_ALLIANCE,0.109105
53,Krishnagiri,Krishnagiri,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.348333,0.456571,0.089061,0.049279,0.056756,AIADMK_NDA,0.108238
54,Veppanahalli,Krishnagiri,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.390532,0.463839,0.08434,0.039628,0.021662,AIADMK_NDA,0.073307
55,Hosur,Krishnagiri,North,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.479265,0.339162,0.100105,0.032512,0.048956,DMK_ALLIANCE,0.140103
56,Thalli,Krishnagiri,North,GEN,0,DMK,DMK_ALLIANCE,CPI,DMK_ALLIANCE,CPI,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.463373,0.364638,0.082404,0.039444,0.050141,DMK_ALLIANCE,0.098735
57,Palacode,Dharmapuri,North,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.380674,0.446542,0.073282,0.062137,0.037366,AIADMK_NDA,0.065868
58,Pennagaram,Dharmapuri,North,GEN,0,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,PMK,AIADMK_NDA,IND,DMK_ALLIANCE,0,0,0,0.0,0.0,0.345625,0.451098,0.116288,0.045255,0.041733,AIADMK_NDA,0.105473
59,Dharmapuri,Dharmapuri,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.385878,0.486337,0.087884,0.026271,0.013631,AIADMK_NDA,0.100459
