ac_no,ac_name,reservation,district,region_5way,is_reserved,election_cycle
162,Poompuhar,GEN,Mayiladuthurai,Central,0,TNLA_2026
163,Nagapattinam,GEN,Nagapattinam,Central,0,TNLA_2026
164,Kilvelur,SC,Nagapattinam,Central,1,TNLA_2026
165,Vedaranyam,GEN,Nagapattinam,Central,0,TNLA_2026
166,Thiruthuraipoondi,SC,Thiruvarur,Central,1,TNLA_2026
167,Mannargudi,GEN,Thiruvarur,Central,0,TNLA_2026
168,Thiruvarur,GEN,Thiruvarur,Central,0,TNLA_2026
169,Nannilam,GEN,Thiruvarur,Central,0,TNLA_2026
170,Thiruvidaimarudur,SC,Thanjavur,Central,1,TNLA_2026
171,Kumbakonam,GEN,Thanjavur,Central,0,TNLA_2026
172,Papanasam,GEN,Thanjavur,Central,0,TNLA_2026
173,Thiruvaiyaru,GEN,Thanjavur,Central,0,TNLA_2026
174,Thanjavur,GEN,Thanjavur,Central,0,TNLA_2026
175,Orathanadu,GEN,Thanjavur,Central,0,TNLA_2026
176,Pattukkottai,GEN,Thanjavur,Central,0,TNLA_2026
177,Peravurani,GEN,Thanjavur,Central,0,TNLA_2026
178,Gandharvakottai,SC,Pudukkottai,Central,1,TNLA_2026
179,Viralimalai,GEN,Pudukkottai,Central,0,TNLA_2026
180,Pudukkottai,GEN,Pudukkottai,Central,0,TNLA_2026
181,Thirumayam,GEN,Pudukkottai,Central,0,TNLA_2026
182,Alangudi,GEN,Pudukkottai,Central,0,TNLA_2026
183,Aranthangi,GEN,Pudukkottai,Central,0,TNLA_2026
184,Karaikudi,GEN,Sivaganga,South,0,TNLA_2026
185,Tiruppattur,GEN,Sivaganga,South,0,TNLA_2026
186,Sivaganga,GEN,Sivaganga,South,0,TNLA_2026
187,Manamadurai,SC,Sivaganga,South,1,TNLA_2026
188,Melur,GEN,Madurai,South,0,TNLA_2026
189,Madurai East,GEN,Madurai,South,0,TNLA_2026
190,Sholavandan,SC,Madurai,South,1,TNLA_2026
191,Madurai North,GEN,Madurai,South,0,TNLA_2026
192,Madurai South,GEN,Madurai,South,0,TNLA_2026
193,Madurai Central,GEN,Madurai,South,0,TNLA_2026
194,Madurai West,GEN,Madurai,South,0,TNLA_2026
195,Thiruparankundram,GEN,Madurai,South,0,TNLA_2026
196,Thirumangalam,GEN,Madurai,South,0,TNLA_2026
197,Usilampatti,GEN,Madurai,South,0,TNLA_2026
198,Andipatti,GEN,Theni,South,0,TNLA_2026
199,Periyakulam,SC,Theni,South,1,TNLA_2026
200,Bodinayakanur,GEN,Theni,South,0,TNLA_2026
201,Cumbum,GEN,Theni,South,0,TNLA_2026
202,Rajapalayam,GEN,Virudhunagar,South,0,TNLA_2026
203,Srivilliputhur,SC,Virudhunagar,South,1,TNLA_2026
204,Sattur,GEN,Virudhunagar,South,0,TNLA_2026
205,Sivakasi,GEN,Virudhunagar,South,0,TNLA_2026
206,Virudhunagar,GEN,Virudhunagar,South,0,TNLA_2026
207,Aruppukkottai,GEN,Virudhunagar,South,0,TNLA_2026
208,Tiruchuli,GEN,Virudhunagar,South,0,TNLA_2026
209,Paramakudi,SC,Ramanathapuram,South,1,TNLA_2026
210,Tiruvadanai,GEN,Ramanathapuram,South,0,TNLA_2026
211,Ramanathapuram,GEN,Ramanathapuram,South,0,TNLA_2026
212,Mudhukulathur,GEN,Ramanathapuram,South,0,TNLA_2026
213,Vilathikulam,GEN,Thoothukudi,South,0,TNLA_2026
214,Thoothukkudi,GEN,Thoothukudi,South,0,TNLA_2026
215,Tiruchendur,GEN,Thoothukudi,South,0,TNLA_2026
216,Srivaikuntam,GEN,Thoothukudi,South,0,TNLA_2026
217,Ottapidaram,SC,Thoothukudi,South,1,TNLA_2026
218,Kovilpatti,GEN,Thoothukudi,South,0,TNLA_2026
219,Sankarankovil,SC,Tenkasi,South,1,TNLA_2026
220,Vasudevanallur,SC,Tenkasi,South,1,TNLA_2026
221,Kadayanallur,GEN,Tenkasi,South,0,TNLA_2026
222,Tenkasi,GEN,Tenkasi,South,0,TNLA_2026
223,Alangulam,GEN,Tenkasi,South,0,TNLA_2026
224,Tirunelveli,GEN,Tirunelveli,South,0,TNLA_2026
225,Ambasamudram,GEN,Tirunelveli,South,0,TNLA_2026
226,Palayamkottai,GEN,Tirunelveli,South,0,TNLA_2026
227,Nanguneri,GEN,Tirunelveli,South,0,TNLA_2026
228,Radhapuram,GEN,Tirunelveli,South,0,TNLA_2026
229,Kanniyakumari,GEN,Kanniyakumari,South,0,TNLA_2026
230,Nagercoil,GEN,Kanniyakumari,South,0,TNLA_2026
231,Colachal,GEN,Kanniyakumari,South,0,TNLA_2026
232,Padmanabhapuram,GEN,Kanniyakumari,South,0,TNLA_2026
233,Vilavancode,GEN,Kanniyakumari,South,0,TNLA_2026
234,Killiyoor,GEN,Kanniyakumari,South,0,TNLA_2026
